"OP_UNIQUE_CARRIER","ARR_DELAY","DISTANCE"
"AA",-11.00,985.00
"AA",2.00,985.00
"AA",-29.00,985.00
"AA",-7.00,985.00
"AA",-7.00,985.00
"AA",-11.00,985.00
"AA",-17.00,985.00
"AA",-3.00,985.00
"AA",-9.00,985.00
"AA",-13.00,985.00
"AA",-15.00,1303.00
"AA",-19.00,1303.00
"AA",-7.00,1303.00
"AA",8.00,1303.00
"AA",-14.00,1303.00
"AA",-14.00,1303.00
"AA",-8.00,1303.00
"AA",-5.00,237.00
"AA",5.00,237.00
"AA",,237.00
"AA",,237.00
"AA",,237.00
"AA",-14.00,237.00
"AA",-12.00,237.00
"AA",-4.00,237.00
"AA",-18.00,237.00
"AA",-21.00,237.00
"AA",-17.00,237.00
"AA",-10.00,237.00
"AA",-14.00,237.00
"AA",-12.00,237.00
"AA",-11.00,237.00
"AA",5.00,237.00
"AA",9.00,237.00
"AA",-23.00,237.00
"AA",-23.00,237.00
"AA",-23.00,237.00
"AA",-24.00,237.00
"AA",-18.00,237.00
"AA",-20.00,237.00
"AA",-20.00,237.00
"AA",-27.00,237.00
"AA",-15.00,237.00
"AA",74.00,237.00
"AA",-8.00,237.00
"AA",22.00,237.00
"AA",-24.00,237.00
"AA",-23.00,1337.00
"AA",-11.00,1337.00
"AA",-4.00,1337.00
"AA",12.00,1337.00
"AA",20.00,1337.00
"AA",1.00,1337.00
"AA",-20.00,1337.00
"AA",-15.00,1337.00
"AA",-19.00,1337.00
"AA",-25.00,1337.00
"AA",18.00,1337.00
"AA",-26.00,1337.00
"AA",53.00,1337.00
"AA",,1337.00
"AA",1.00,1337.00
"AA",-26.00,1337.00
"AA",-32.00,1337.00
"AA",-8.00,1337.00
"AA",4.00,1337.00
"AA",-17.00,1337.00
"AA",-25.00,1337.00
"AA",-21.00,1337.00
"AA",-29.00,1337.00
"AA",3.00,1337.00
"AA",-5.00,1337.00
"AA",-15.00,1337.00
"AA",-17.00,1337.00
"AA",-2.00,1337.00
"AA",-13.00,1337.00
"AA",-20.00,1337.00
"AA",4.00,1337.00
"AA",-7.00,1337.00
"AA",-34.00,1337.00
"AA",-17.00,1337.00
"AA",-4.00,1337.00
"AA",-7.00,1337.00
"AA",-10.00,1337.00
"AA",26.00,1337.00
"AA",-3.00,1337.00
"AA",,1337.00
"AA",1.00,1337.00
"AA",3.00,1337.00
"AA",123.00,1337.00
"AA",31.00,1337.00
"AA",-12.00,1337.00
"AA",-33.00,1337.00
"AA",-8.00,1337.00
"AA",4.00,1337.00
"AA",-25.00,1337.00
"AA",-21.00,1337.00
"AA",-21.00,1337.00
"AA",-16.00,1337.00
"AA",-12.00,1337.00
"AA",-16.00,1337.00
"AA",-7.00,370.00
"AA",-7.00,370.00
"AA",-18.00,370.00
"AA",-8.00,370.00
"AA",-15.00,370.00
"AA",25.00,370.00
"AA",-26.00,370.00
"AA",-12.00,370.00
"AA",-21.00,370.00
"AA",-7.00,370.00
"AA",-29.00,370.00
"AA",-8.00,370.00
"AA",-18.00,370.00
"AA",-23.00,370.00
"AA",-18.00,370.00
"AA",-18.00,370.00
